cmd=draw lib=pthread power=26
threads,sys,user,elapsed
1,0.262,4.265,4.617
2,0.298,4.330,2.430
3,0.315,4.658,1.813
4,0.327,4.708,1.417
5,0.330,4.653,1.652
6,0.332,4.702,1.482
7,0.343,4.702,1.490
8,0.332,4.723,1.470
