cmd=limits lib=tbb power=26
threads,sys,user,elapsed
1,0.000,1.405,1.408
2,0.002,1.462,0.732
3,0.000,1.575,0.527
4,0.000,1.593,0.407
5,0.000,1.597,0.407
6,0.003,1.603,0.412
7,0.005,1.605,0.412
8,0.012,1.617,0.418
