cmd=limits lib=pthread power=26
threads,sys,user,elapsed
1,0.000,1.413,1.420
2,0.000,1.457,0.735
3,0.000,1.560,0.533
4,0.000,1.575,0.422
5,0.000,1.558,0.485
6,0.000,1.573,0.440
7,0.000,1.575,0.445
8,0.002,1.582,0.435
